,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
593,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Gray,12,256,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,134999,2553
594,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Gray,12,512,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,144999,2553
595,Realme,Realme 13 Pro+ 5G , 13 Pro+ 5G ,Monet Gold,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 50MP ,5200,27999,5678
596,Realme,Realme 13 Pro+ 5G , 13 Pro+ 5G ,Emerald Green,12,512,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 50MP ,5200,30999,5678
597,Realme,Realme 13 Pro+ 5G , 13 Pro+ 5G ,Monet Gold,12,512,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 50MP ,5200,30999,5678
598,Oppo,Oppo Reno 12 Pro 5G , Reno 12 Pro 5G ,Sunset Gold,12,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 50MP ,50MP + 8MP + 50MP ,5000,36999,4176
599,Google,Google Pixel 7a , Pixel 7a ,Sea,8,128,False,Unisoc,Unisoc Tensor G2 ,6.1 , 13MP ,64MP (OIS) + 13MP ,4300,31999,25452
600,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
601,Vivo,Vivo X200 5G , X200 5G ,Natural Green,16,512,True,Mediatek,Mediatek Dimensity 9400 ,6.67 , 32MP ,50MP + 50MP + 50MP ,5800,71999,89
603,Oppo,Oppo Reno 12 Pro 5G , Reno 12 Pro 5G ,Sunset Gold,12,512,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 50MP ,50MP + 8MP + 50MP ,5000,30999,4176
